Date,Volume
2001-10-23,1317300000
2001-10-24,1336200000
2001-10-25,1364400000
2001-10-26,1244500000
2001-10-29,1106100000
2001-10-30,1297400000
2001-10-31,1352500000
2001-11-01,1317400000
2001-11-02,1121900000
2001-11-05,1267700000
2001-11-06,1356000000
2001-11-07,1411300000
2001-11-08,1517500000
2001-11-09,1093800000
2001-11-12,991600000
2001-11-13,1370100000
2001-11-14,1443400000
2001-11-15,1454500000
2001-11-16,1337400000
2001-11-19,1316800000
2001-11-20,1330200000
2001-11-21,1029300000
2001-11-23,410300000
2001-11-26,1129800000
2001-11-27,1288000000
2001-11-28,1423700000
2001-11-29,1375700000
2001-11-30,1343600000
2001-12-03,1202900000
2001-12-04,1318500000
2001-12-05,1765300000
2001-12-06,1487900000
2001-12-07,1248200000
2001-12-10,1218700000
2001-12-11,1367200000
2001-12-12,1449700000
2001-12-13,1511500000
2001-12-14,1306800000
2001-12-17,1260400000
2001-12-18,1354000000
2001-12-19,1484900000
2001-12-20,1490500000
2001-12-21,1694000000
2001-12-24,439670000
2001-12-26,791100000
2001-12-27,876300000
2001-12-28,917400000
2001-12-31,943600000
2002-01-02,1171000000
2002-01-03,1398900000
2002-01-04,1513000000
2002-01-07,1308300000
2002-01-08,1258800000
2002-01-09,1452000000
2002-01-10,1299000000
2002-01-11,1211900000
2002-01-14,1286400000
2002-01-15,1386900000
2002-01-16,1482500000
2002-01-17,1380100000
2002-01-18,1333300000
2002-01-22,1311600000
2002-01-23,1479200000
2002-01-24,1552800000
2002-01-25,1345100000
2002-01-28,1186800000
2002-01-29,1812000000
2002-01-30,2019600000
2002-01-31,1557000000
2002-02-01,1367200000
2002-02-04,1437600000
2002-02-05,1778300000
2002-02-06,1665800000
2002-02-07,1441600000
2002-02-08,1371900000
2002-02-11,1159400000
2002-02-12,1094200000
2002-02-13,1215900000
2002-02-14,1272500000
2002-02-15,1359200000
2002-02-19,1189900000
2002-02-20,1438900000
2002-02-21,1381600000
2002-02-22,1411000000
2002-02-25,1367400000
2002-02-26,1309200000
2002-02-27,1393800000
2002-02-28,1392200000
2002-03-01,1456500000
2002-03-04,1594300000
2002-03-05,1549300000
2002-03-06,1541300000
2002-03-07,1517400000
2002-03-08,1412000000
2002-03-11,1210200000
2002-03-12,1304400000
2002-03-13,1354000000
2002-03-14,1208800000
2002-03-15,1493900000
2002-03-18,1169500000
2002-03-19,1255000000
2002-03-20,1304900000
2002-03-21,1339200000
2002-03-22,1243300000
2002-03-25,1057900000
2002-03-26,1223600000
2002-03-27,1180100000
2002-03-28,1147600000
2002-04-01,1050900000
2002-04-02,1176700000
2002-04-03,1219700000
2002-04-04,1283800000
2002-04-05,1110200000
2002-04-08,1095300000
2002-04-09,1235400000
2002-04-10,1447900000
2002-04-11,1505600000
2002-04-12,1282100000
2002-04-15,1120400000
2002-04-16,1341300000
2002-04-17,1376900000
2002-04-18,1359300000
2002-04-19,1185000000
2002-04-22,1181800000
2002-04-23,1388500000
2002-04-24,1373200000
